ἀνάστασις,"a standing up, a resurrection, a raising up, rising",ἐν τῇ ἀναστάσει οὖν τίνος<br><br>γὰρ τῇ ἀναστάσει οὔτε γαμοῦσιν<br><br>δὲ τῆς ἀναστάσεως τῶν νεκρῶν, In the resurrection therefore of which<br><br> indeed the resurrection neither do they marry<br><br> moreover the resurrection of the dead,"Noun, Feminine","""τοὺς τεθνεῶτας, ἐν τῇ ἐνδόξῳ <b>ἀναστάσει</b> αὐτοῦ. Χαῖρε πύλη Κυρίου ἡ""",Ἀναστάσει,Plagal I
χαίρω,"to rejoice, be glad",χαίρετε καὶ ἀγαλλιᾶσθε<br><br>ὑμῖν ὅτι χαίρει ἐπ' αὐτῷ<br><br>Ἰησοῦ εἶπεν Χαῖρε ῥαββί καὶ, Rejoice and exult<br><br> to you that he rejoices over it<br><br> to Jesus he said Greetings Rabbi and,Verb,"""ἐν τῇ ἐνδόξῳ Ἀναστάσει αὐτοῦ. <b>χαῖρε</b> πύλη Κυρίου ἡ ἀδιόδευτος, <b>χαῖρε</b>""",Χαῖρε,Plagal I
πύλη,a gate,πλατεῖα ἡ πύλη καὶ εὐρύχωρος<br><br>στενὴ ἡ πύλη καὶ τεθλιμμένη<br><br>ἐκκλησίαν καὶ πύλαι ᾅδου οὐ, wide the gate and broad<br><br> small [is] the gate and narrow<br><br> church and [the] gates of hades not,"Noun, Feminine","""τῇ ἐνδόξῳ Ἀναστάσει αὐτοῦ. Χαῖρε <b>πύλη</b> Κυρίου ἡ ἀδιόδευτος, χαῖρε τεῖχος""",πύλη,Plagal I
κύριος,"lord, master",ῥηθὲν ὑπὸ Κυρίου διὰ τοῦ<br><br>ὁ ἄγγελος Κυρίου καὶ παρέλαβεν<br><br>ἰδοὺ ἄγγελος Κυρίου φαίνεται κατ', having been spoken by the Lord through the<br><br> the angel of [the] Lord and took to [him]<br><br> behold an angel of [the] Lord appears in,"Noun, Masculine","""Ἀναστάσει αὐτοῦ. Χαῖρε πύλη <b>κυρίου</b> ἡ ἀδιόδευτος, χαῖρε τεῖχος καὶ""",Κυρίου,Plagal I
τεῖχος,a wall,διὰ τοῦ τείχους καὶ ἐξέφυγον<br><br>Πίστει τὰ τείχη Ἰεριχὼ ἔπεσαν<br><br>ἔχουσα τεῖχος μέγα καὶ, through the wall and escaped<br><br> By faith the walls of Jericho fell<br><br> It had a wall great and,"Noun, Neuter","""πύλη Κυρίου ἡ ἀδιόδευτος, χαῖρε <b>τεῖχος</b> καὶ σκέπη τῶν προστρεχόντων εἰς""",τεῖχος,Plagal I
ἀνεμίζω,to drive by the wind,,,Verb,"""ἡ ἀδιόδευτος, χαῖρε τεῖχος καὶ <b>σκέπη</b> τῶν προστρεχόντων εἰς σέ, χαῖρε""",σκέπη,Plagal I
προστρέχω,to run to,εἰς ὁδὸν προσδραμὼν εἷς καὶ<br><br>προσδραμὼν δὲ ὁ, on [the] journey having run up one and<br><br> having run up moreover,Verb,"""χαῖρε τεῖχος καὶ σκέπη τῶν <b>προστρεχόντων</b> εἰς σέ, χαῖρε ἀχείμαστε λιμὴν""",προστρεχόντων,Plagal I
λιμήν,"a harbor, a haven",δὲ τοῦ λιμένος ὑπάρχοντος πρὸς<br><br>Φοίνικα παραχειμάσαι λιμένα τῆς Κρήτης, moreover the harbor being to<br><br> Phoenix to winter [there] a harbor of Crete,"Noun, Masculine","""εἰς σέ, χαῖρε ἀχείμαστε <b>λιμὴν</b> καὶ Ἀπειρόγαμε, ἡ τεκοῦσα ἐν""",λιμὴν,Plagal I
θεός,"God, a god",δύναται ὁ θεὸς ἐκ τῶν<br><br>πνεῦμα τοῦ θεοῦ καταβαῖνον ὡσεὶ<br><br>εἶ τοῦ θεοῦ εἰπὲ ἵνα, able is God from the<br><br> Spirit of God descending as<br><br> you are of God speak that,"Noun, Feminine; Noun, Masculine","""ἐν σαρκὶ τὸν Ποιητὴν σου καὶ <b>θεόν</b>, πρεσβεύουσα, μὴ ἐλλείπῃς, ὑπὲρ""",Θεόν,Plagal I
πρεσβεύω,"to be the elder, to take precedence",ὑπὲρ οὗ πρεσβεύω ἐν ἁλύσει, for which I am an ambassador in a chain,Verb,"""τὸν Ποιητὴν σου καὶ Θεόν, <b>πρεσβεύουσα</b>, μὴ ἐλλείπῃς, ὑπὲρ τῶν""",πρεσβεύουσα,Plagal I
μή,"not, that...not, lest (used for qualified negation)",υἱὸς Δαυίδ μὴ φοβηθῇς παραλαβεῖν<br><br>κατ' ὄναρ μὴ ἀνακάμψαι πρὸς<br><br>καὶ μὴ δόξητε λέγειν, son of David not fear to take to [you]<br><br> in a dream not to return to<br><br> and not think to say,"Particle, Negative","""σου καὶ Θεόν, πρεσβεύουσα, <b>μὴ</b> ἐλλείπῃς, ὑπὲρ τῶν ἀνυμνούντων,""",μὴ,Plagal I
προσκυνέω,to do reverence to,κἀγὼ ἐλθὼν προσκυνήσω αὐτῷ <br><br>καὶ πεσόντες προσεκύνησαν αὐτῷ καὶ<br><br>ἐὰν πεσὼν προσκυνήσῃς μοι , I also having come might worship him<br><br> and having fallen down worshipped him and<br><br> if having fallen down you will worship me,Verb,"""ὑπὲρ τῶν ἀνυμνούντων, καὶ <b>προσκυνούντων</b> τὸν Τόκον σου""",προσκυνούντων,Plagal I
τόκος,"a bringing forth, birth, interest, usury",ἐλθὼν σὺν τόκῳ ἂν αὐτὸ, having come with interest anyhow it,"Noun, Masculine","""καὶ προσκυνούντων τὸν <b>τόκον</b> σου""",Τόκον,Plagal I
εἰς,"to or into (indicating the point reached or entered, of place, time, purpose, result)",πέμψας αὐτοὺς εἰς Βηθλεὲμ εἶπεν<br><br>καὶ ἐλθόντες εἰς τὴν οἰκίαν<br><br>ὁδοῦ ἀνεχώρησαν εἰς τὴν χώραν, having sent them to Bethlehem he said<br><br> And having come into the house<br><br> route they withdrew into the country,Preposition,"""Πνεύματι, τὸν ἐκ Παρθένου τεχθέντα <b>εἰς</b> σωτηρίαν ἡμῶν, ἀνυμνήσωμεν,""",εἰς,Plagal I
σάρξ,flesh,δύο εἰς σάρκα μίαν <br><br>δύο ἀλλὰ σὰρξ μία ὃ<br><br>ἐσώθη πᾶσα σάρξ διὰ δὲ, two for flesh one<br><br> two but flesh one What<br><br> there would have been saved any body because of however,"Noun, Feminine","""καὶ προσκυνήσωμεν· ὅτι ηὐδόκησε, <b>σαρκὶ</b> ἀνελθεῖν ἐν τῷ σταυρῷ, καὶ""",σαρκὶ,Plagal I
Βαρνάβας,"Barnabas, an Israelite companion of Paul",Βαρνάβας δὲ ἐπιλαβόμενος<br><br>καὶ ἐξαπέστειλαν Βαρνάβαν διελθεῖν ἕως<br><br>διὰ χειρὸς Βαρνάβα καὶ Σαύλου, Barnabas moreover having taken<br><br> and they sent forth Barnabas to go as far as<br><br> by [the] hand of Barnabas and Saul,"Noun, Masculine","""συνάναρχον Λόγον Πατρὶ <b>καὶ</b> Πνεύματι, τὸν ἐκ Παρθένου τεχθέντα""",καὶ,Plagal I
